City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Chimoio,MZ,-19.1164,33.4833,67.95,100,40,0.51,scattered clouds
302,Acapulco,MX,16.8634,-99.8901,79.63,85,54,5.14,broken clouds
303,North Myrtle Beach,US,33.816,-78.68,72.21,96,100,21.85,overcast clouds
304,Tharad,IN,24.3961,71.6267,71.49,32,5,5.1,clear sky
305,High Rock,BS,26.6208,-78.2833,78.82,80,23,10.25,few clouds
306,Polunochnoye,RU,60.8697,60.4153,15.49,97,30,3.13,scattered clouds
307,Leiderdorp,NL,52.1571,4.5432,49.01,85,16,3.0,few clouds
308,Hobbs,US,32.7026,-103.136,40.05,37,0,9.22,clear sky
309,Shelburne,CA,44.0787,-80.2041,52.36,98,100,7.0,overcast clouds
310,Bahia Blanca,AR,-38.7196,-62.2724,57.63,86,100,9.33,overcast clouds
311,Sayaxche,GT,16.5167,-90.1667,72.19,89,5,2.28,clear sky
312,Lorengau,PG,-2.0226,147.2712,84.61,72,100,2.04,overcast clouds
313,Linqiong,CN,30.4159,103.4609,57.02,81,100,7.11,overcast clouds
314,Goya,AR,-29.14,-59.2626,73.54,60,12,10.38,few clouds
315,Octeville,FR,49.6261,-1.6435,46.89,93,81,6.91,broken clouds
316,Meulaboh,ID,4.1363,96.1285,77.68,86,100,4.32,light rain
317,Pimentel,PE,-6.8367,-79.9342,62.29,89,51,14.0,broken clouds
318,Bhiwani,IN,28.7833,76.1333,65.57,40,0,4.76,clear sky
319,Cidreira,BR,-30.1811,-50.2056,66.72,89,100,10.51,overcast clouds
320,Ca Mau,VN,9.1769,105.15,84.74,69,96,8.81,overcast clouds
321,Padang,ID,-0.9492,100.3543,78.85,86,100,3.53,overcast clouds
322,Mittagong,AU,-34.45,150.45,75.94,43,21,3.62,moderate rain
323,Palmer,US,42.1584,-72.3287,68.86,82,100,7.0,moderate rain
324,Vanimo,PG,-2.6741,141.3028,86.72,66,74,5.19,broken clouds
325,Katobu,ID,-4.9408,122.5276,89.8,54,68,3.09,broken clouds
326,Sonari,IN,27.0667,95.0333,66.25,80,0,1.81,clear sky
327,Waipawa,NZ,-41.4122,175.5153,67.55,73,25,3.76,scattered clouds
328,Miri,MY,4.4148,114.0089,84.34,79,20,3.44,few clouds
329,Maryborough,AU,-25.5333,152.7,83.84,38,1,9.35,clear sky
330,Prado,BR,-17.3411,-39.2208,74.48,87,98,7.16,overcast clouds
331,Mehamn,NO,71.0357,27.8492,35.51,100,100,4.61,light rain
332,Quatre Cocos,MU,-20.2078,57.7625,71.71,66,90,10.45,overcast clouds
333,Clarence Town,AU,-32.5833,151.7833,83.61,39,5,4.47,clear sky
334,Prescott Valley,US,34.5894,-112.3252,45.1,41,86,1.01,overcast clouds
335,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.56,62,30,3.47,scattered clouds
336,Karatsu,JP,33.4425,129.9697,73.29,52,0,1.48,clear sky
337,Chunhuhub,MX,19.55,-88.6833,70.23,83,0,3.49,clear sky
338,Narsaq,GL,60.9167,-46.05,20.21,94,100,2.86,overcast clouds
339,Pitalito,CO,1.8497,-76.0479,63.05,97,95,2.42,overcast clouds
340,Lavrentiya,RU,65.5833,-171.0,17.1,76,2,8.81,clear sky
341,Bardiyah,LY,31.7561,25.0865,63.72,65,22,6.33,few clouds
342,Semey,KZ,50.4111,80.2275,23.22,86,0,6.71,clear sky
343,Kisangani,CD,0.5167,25.2,66.9,100,100,0.6,overcast clouds
344,Matagami,CA,49.7502,-77.6328,28.51,100,100,6.91,light snow
345,Hualmay,PE,-11.0964,-77.6139,64.42,82,11,12.15,few clouds
346,Nova Friburgo,BR,-22.2819,-42.5311,64.35,98,100,1.63,light rain
347,Port Hardy,CA,50.6996,-127.4199,41.18,93,75,3.44,broken clouds
